Date, Close 
2018-01-07, 110.65 
2018-01-08, 111.65 
2018-01-09, 112.65 
2018-01-10, 113.65 
2018-01-11, 114.65 
2018-01-12, 115.65 
2018-01-13, 116.65 
2018-01-14, 117.65 
2018-01-15, 118.65 
2018-01-16, 119.65 
2018-01-17, 120.65 
2018-01-18, 121.45 
2018-01-19, 123.61 
2018-01-22, 125.39 
2018-01-23, 125.59 
2018-01-24, 125.65 
2018-01-25, 123.99 
2018-01-26, 125.03 
2018-01-29, 121.76 
2018-01-30, 120.72 
2018-01-31, 120.83 
2018-02-01, 120.79 
2018-02-02, 118.17 
2018-02-05, 114.63 
2018-02-06, 115.93 
2018-02-07, 117.95 
2018-02-08, 114.81 
2018-02-09, 115.11 
2018-02-12, 115.88 
2018-02-13, 118.33 
2018-02-14, 120.00 
2018-02-15, 120.73 
2018-02-16, 120.58 
2018-02-20, 118.20 
2018-02-21, 119.00 
2018-02-22, 119.71 
2018-02-23, 121.11 
2018-02-26, 123.18 
2018-02-27, 120.62 
2018-02-28, 118.57 
2018-03-01, 118.54 
2018-03-02, 120.33 
2018-03-05, 117.41 
2018-03-06, 118.57 
2018-03-07, 118.90 
2018-03-08, 118.70 
2018-03-09, 121.80 
2018-03-12, 120.82 
2018-03-13, 121.99 
2018-03-14, 119.81 
2018-03-15, 119.77 
2018-03-16, 120.30 
2018-03-19, 120.19 
2018-03-20, 120.77 
2018-03-21, 120.59 
2018-03-22, 118.82 
2018-03-23, 118.00 
2018-03-26, 120.18 
2018-03-27, 114.96 
2018-03-28, 114.92 
2018-03-29, 117.15 
2018-04-02, 115.36 
2018-04-03, 117.17 
2018-04-04, 115.38 
2018-04-05, 113.80 
2018-04-06, 109.93 
2018-04-09, 109.21 
2018-04-10, 111.43 
2018-04-11, 113.09 
2018-04-12, 114.18 
2018-04-13, 112.77 
2018-04-16, 119.75 
2018-04-17, 119.17 
2018-04-18, 121.34 
2018-04-19, 121.27 
2018-04-20, 119.59 
2018-04-23, 120.32 
2018-04-24, 118.41 
2018-04-25, 117.78 
2018-04-26, 117.25 
2018-04-27, 118.52 
2018-04-30, 117.43 
2018-05-01, 115.92 
2018-05-02, 116.40 
2018-05-03, 116.59 
2018-05-04, 117.42 
2018-05-07, 118.10 
2018-05-08, 118.81 
2018-05-09, 120.71 
2018-05-10, 122.90 
2018-05-11, 124.66 
2018-05-14, 123.76 
2018-05-15, 123.25 
2018-05-16, 125.12 
2018-05-17, 125.69 
2018-05-18, 126.86 
2018-05-21, 128.10 
2018-05-22, 124.65 
2018-05-23, 124.61 
2018-05-24, 127.12 
2018-05-25, 128.39 
2018-05-29, 127.39 
2018-05-30, 129.41 
2018-05-31, 129.41 
2018-06-01, 129.64 
2018-06-04, 127.50 
2018-06-05, 126.82 
2018-06-06, 126.77 
2018-06-07, 127.27 
2018-06-08, 128.68 
2018-06-11, 130.26 
2018-06-12, 130.82 
2018-06-13, 129.39 
2018-06-14, 129.65 
2018-06-15, 130.24 
2018-06-18, 129.29 
2018-06-19, 127.30 
2018-06-20, 128.48 
2018-06-21, 128.20 
2018-06-22, 128.13 
2018-06-25, 124.05 
